userid,uniqueID,gender,age,consumption,shopping,occupation
556,M7039262,0,18,2,3,1
557,U6642170,1,18,2,1,2
558,T7331529,1,24,2,2,1
559,I8153832,0,17,3,2,2
560,S6780998,1,18,3,2,1
561,=6068115,0,16,3,2,2
562,@7164353,1,19,1,2,1
563,\9037101,1,21,3,2,2
564,C8398626,0,21,3,3,2
565,J6512797,0,22,3,3,1
566,]9468154,0,20,2,2,1
567,^6663187,1,23,2,1,2
568,G854223,1,15,3,1,1
569,]7661270,0,25,1,3,1
570,\8877684,0,23,3,3,1
571,?8133854,0,17,3,3,2
572,J7487238,0,16,3,2,1
573,\7328971,1,15,2,3,1
574,D7985840,1,18,2,1,1
575,N8351318,0,25,1,1,1
576,Y8387774,1,17,1,3,2
577,G6650800,0,20,2,1,1
578,S7978753,1,22,3,3,2
579,B7365666,0,23,3,3,2
580,X6053782,0,23,2,1,2
581,A82742,0,21,3,2,2
582,C6062281,1,23,2,3,2
583,D837896,1,24,1,2,2
584,=6414749,1,16,1,2,2
585,>6275982,0,22,1,2,2
586,\6819031,0,21,2,1,1
587,I7179347,1,20,2,3,2
588,D7271100,1,19,1,1,2
589,F7486007,1,19,2,2,1
590,G6423105,0,17,3,2,2
591,^7750425,1,25,2,2,2
592,_7731564,1,20,2,2,2
593,<6568172,0,20,1,2,1
594,<6938220,0,23,2,2,1
595,Q6733659,0,23,3,2,1
596,]8218400,1,23,3,3,1
597,>7526417,0,25,3,1,2
598,[8930890,1,23,3,3,2
599,L7651337,0,18,1,3,1
600,C6913159,1,25,2,1,2
601,^7941158,0,19,1,2,1
602,Z8647821,1,17,3,1,2
603,Y6198099,1,24,1,2,2
604,>6920627,1,20,2,2,2
605,S7339509,1,25,3,2,1
606,F9432444,0,15,2,3,1
607,X6120063,1,25,3,3,2
608,L6299099,0,17,3,1,2
609,A7636995,0,18,2,2,2
610,K9389820,1,16,3,3,2
611,X8983741,0,22,1,3,2
612,B8232054,1,25,1,3,2
613,A8471406,0,24,3,3,1
614,_6855636,1,23,3,3,2
615,\7098619,1,15,2,1,2
616,C901513,0,17,1,2,2
617,O8340770,0,24,1,1,1
618,N8276165,0,17,3,3,2
619,U6974108,1,17,2,1,2
620,@6873131,0,15,1,3,2
621,=7833656,1,15,3,1,1
622,[8473269,1,22,1,3,2
623,D6353273,0,24,3,1,1
624,C754906,1,16,1,2,2
625,P712841,1,17,3,1,2
626,<8837221,1,16,2,1,1
627,C8553200,0,17,1,2,1
628,_7357203,0,16,3,3,2
629,P8576313,0,22,2,3,2
630,M9075249,1,20,1,3,2
631,[9067881,1,18,2,1,1
632,@959533,1,25,3,1,2
633,\6332138,1,20,3,2,2
634,R6934334,0,17,3,3,1
635,U7449075,0,23,3,2,1
636,U6166788,0,21,3,2,2
637,S8974271,0,19,3,3,2
638,G8816170,1,22,3,3,2
639,G8674102,0,25,3,2,2
640,L6387916,0,20,3,3,2
641,Y8049937,1,18,2,3,2
642,S9215519,1,23,2,1,1
643,I6238656,0,23,1,3,1
644,J8365971,0,16,3,2,2
645,_6626304,1,25,2,2,1
646,M9029737,0,16,2,2,1
647,<9273444,0,22,3,3,2
648,Y6455048,0,15,3,3,1
649,]6916638,1,25,1,1,2
650,Q7918180,0,21,2,3,1
651,U7983230,1,17,2,3,1
652,[6758446,0,20,3,1,2
653,I9194274,1,21,2,3,2
654,E7827691,1,24,2,1,1
655,T6334991,1,15,3,2,1
656,A7573312,0,16,3,3,2
657,E6670905,1,16,3,3,2
658,S8948812,1,23,3,3,1
659,\9290149,1,22,3,2,2
660,T7027431,0,21,1,3,1
661,<6333919,1,20,1,2,1
662,X8723704,0,17,3,1,2
663,F7275512,1,21,3,3,2
664,A8442403,1,23,3,2,2
665,D6145349,0,25,3,1,1
666,V6793538,1,22,3,2,1
667,K8919850,1,19,1,2,1
668,Q8017632,1,20,1,3,2
669,<8491318,1,24,3,2,1
670,E6750162,0,20,3,1,1
671,V6755251,0,21,2,2,1
672,L6245050,0,21,2,2,1
673,[7045769,1,25,3,2,2
674,Y8238996,1,17,3,2,2
675,@9383563,0,16,1,3,2
676,P8245117,0,17,2,3,1
677,>8569503,0,17,1,1,1
678,@6759250,0,16,3,1,2
679,H6745368,1,20,1,3,2
680,@6448357,0,21,1,2,1
681,E659676,0,21,1,1,1
682,L897365,1,18,1,2,1
683,E912554,1,25,1,2,1
684,J6445443,1,21,2,1,1
685,W8687871,0,18,3,3,1
686,A6624919,1,21,1,3,2
687,=8151051,1,20,2,2,2
688,C8882612,0,19,1,1,1
689,B8080961,0,19,3,2,2
690,K8035909,1,18,1,2,2
691,D6821146,1,22,3,1,1
692,S8095339,0,22,3,2,1
693,F7288503,1,15,3,2,2
694,T6787681,1,24,3,2,1
695,N9496633,1,18,3,2,2
696,Z8546445,1,25,2,3,1
697,H7166102,1,19,2,1,1
698,C7754362,0,19,3,3,1
699,J6697001,0,24,3,1,2
700,W7469340,0,24,3,2,2
701,K6563598,0,22,1,3,2
702,@799774,1,18,2,3,1
703,V835791,0,17,1,3,1
704,C8410526,1,21,1,3,1
705,X7058487,0,22,1,1,2
706,Q9339593,0,24,3,3,2
707,^7810856,0,17,3,1,1
708,A6915626,0,23,3,3,2
709,A616188,1,16,3,1,1
710,L7930395,1,15,1,2,1
711,\8333104,0,20,1,1,2
712,Z7518834,0,25,2,1,1
713,A6946729,0,22,2,3,2
714,V7252130,0,15,1,3,1
715,E7765955,1,19,3,2,2
716,Z6762807,0,15,2,3,2
717,@959877,1,24,3,2,1
718,Q6240881,1,23,1,2,2
719,J9131691,0,15,2,1,1
720,O729931,0,23,3,1,1
721,@8944093,1,16,1,3,1
722,F8683909,0,17,1,2,2
723,B6074404,0,15,3,1,2
724,^7892965,0,23,2,1,1
725,Y6169232,1,20,2,1,2
726,T9518696,0,18,3,3,1
727,N7361463,1,16,3,3,2
728,L636140,1,15,2,1,1
729,A713441,0,16,2,2,1
730,R8271210,0,19,3,2,2
731,O9346960,0,16,2,3,1
732,=8340634,0,19,1,2,2
733,K8256513,0,20,3,3,1
734,W6888651,0,17,1,2,1
735,^9272763,0,22,1,3,1
736,Y8644200,1,19,2,3,1
737,_825894,1,17,3,2,1
738,B7552063,0,20,2,1,1
739,R6633723,0,15,1,2,2
740,@904085,0,21,1,2,2
741,J7075719,1,24,2,2,2
742,B683369,0,23,2,1,1
743,E7721469,1,18,2,1,2
744,R6545240,0,15,3,2,1
745,H9137551,1,23,1,2,2
746,A8772859,1,21,2,1,2
747,C7284678,0,22,1,3,1
748,\9279554,1,21,1,3,1
749,G7421294,0,15,1,2,1
750,_7257759,0,25,2,3,1
751,<7398297,0,16,3,2,1
752,I6146708,1,15,1,1,1
753,]8492207,0,25,2,2,1
754,\8473190,1,21,3,3,1
755,T6725336,1,17,1,3,2
756,L6353818,1,16,3,3,1
757,X8390914,0,20,3,2,2
758,]8982680,0,17,2,2,1
759,=6880710,1,15,2,3,2
760,K9245042,1,16,1,1,1
761,=8264281,0,23,1,3,2
762,Z853004,1,17,2,3,2
763,D7166339,1,23,1,3,2
764,T6014608,1,23,3,2,2
765,D6230745,1,22,3,2,2
766,]8880998,0,23,1,2,2
767,B8237636,1,21,3,1,1
768,I9421568,1,18,3,2,2
769,P7920033,0,25,3,1,2
770,_9251450,1,23,1,2,1
771,G8794153,0,17,2,1,2
772,T9466218,0,25,3,1,1
773,Q6411455,0,25,3,3,1
774,E84356,0,15,1,1,2
775,P6146750,0,21,1,1,2
776,N7649758,1,16,2,3,2
777,\7461522,0,23,1,2,2
778,_7892639,1,20,2,3,2
779,I7110352,0,20,3,2,1
780,M7159961,0,17,3,1,2
781,>9364214,1,22,2,2,2
782,I7058036,0,24,3,1,2
783,Z615661,1,21,3,1,2
784,X657396,0,17,3,1,2
785,<9221757,0,19,1,2,1
786,P9575877,1,20,1,1,2
787,?6015559,0,18,1,3,1
788,Q8774252,0,21,1,2,1
789,N9425910,0,25,2,2,2
790,P9261268,0,20,3,1,2
791,O7143924,0,16,2,1,1
792,\8940522,0,18,1,1,2
793,=6053622,1,17,2,1,2
794,Z7015998,1,19,3,2,2
795,N8458728,1,25,2,1,1
796,_696545,0,18,3,1,2
797,N7669669,0,22,2,1,1
798,Z7087409,1,18,3,2,1
799,]8269758,1,20,2,2,2
800,O6553956,1,22,1,3,2
801,Y773391,0,19,2,3,1
802,L9262645,0,24,3,2,2
803,G9195037,0,24,2,1,1
804,\7460845,1,25,1,1,1
805,U7623658,1,24,2,3,2
806,K6018307,1,19,3,2,2
807,I607340,1,23,1,3,1
808,Y6624623,1,21,2,3,1
809,J8179957,1,23,3,1,2
810,?9553364,1,17,1,1,1
811,?8223468,1,21,3,1,2
812,O7843464,1,23,2,2,2
813,]781818,1,15,3,3,1
814,]8343521,0,19,2,3,1
815,>907813,1,15,3,3,1
816,I7361832,1,16,2,3,2
817,G8461235,1,20,2,1,1
818,D6878288,0,23,2,3,1
819,B7098177,0,22,2,2,1
820,@7599908,0,22,1,1,2
821,_9299930,1,21,3,2,1
822,E6776265,1,21,3,3,1
823,G7142021,0,15,2,1,2
824,Z9262679,1,17,1,2,1
825,C8898333,1,19,1,2,2
826,V9312765,1,21,1,2,1
827,H6335363,0,21,2,3,2
828,E8556306,1,21,2,3,2
829,Y7832338,0,24,1,2,2
830,O6046883,0,25,1,2,2
831,_856270,0,18,1,3,1
832,U8034575,0,15,1,3,1
833,H779282,1,17,2,1,2
834,I8995126,0,17,1,3,1
835,A9057327,0,22,1,2,2
836,Z7048209,0,19,2,3,2
837,P679174,0,17,1,1,1
838,T7666694,0,20,2,3,2
839,=7598755,1,15,2,1,2
840,B9083923,1,16,1,2,1
841,Q8872971,0,24,3,1,2
842,C6056404,0,19,3,2,2
843,F8447449,0,15,1,1,1
844,@7149735,1,15,1,2,1
845,V8783043,1,18,3,3,1
846,R8279351,0,22,1,2,2
847,\7850527,0,21,1,2,2
848,N7593985,1,21,3,3,1
849,I6165239,0,17,2,1,2
850,V6228059,0,18,2,3,2
851,B757828,0,20,1,1,2
852,J8736834,0,19,1,1,1
853,\7614290,0,17,3,3,2
854,_8040491,0,17,3,1,2
855,[7715587,0,25,3,2,1
856,B8339034,1,22,3,3,2
857,I6197216,1,18,3,2,1
858,A8385166,0,25,2,3,1
859,Q7141283,0,17,2,3,1
860,B6645987,0,22,1,3,2
861,Y8930640,1,25,3,2,2
862,]6493010,0,16,3,1,1
863,M7455601,1,22,1,1,1
864,?818759,1,18,1,3,1
865,B8247800,0,20,3,1,2
866,<882761,0,18,1,2,2
867,P742484,1,24,1,2,1
868,W7813986,0,15,2,3,2
869,<7484779,0,20,2,1,1
870,L8630442,1,22,3,1,2
871,C7474818,1,22,3,3,2
872,]9140878,1,15,2,1,1
873,>841536,0,18,3,3,2
874,E7928867,0,24,3,1,2
875,H6386878,0,21,2,1,2
876,X708734,0,21,2,1,1
877,_6833635,0,22,3,3,2
878,F7963257,0,21,2,1,1
879,T8387710,0,21,1,2,2
880,V9084680,0,24,2,2,2
881,S7232221,1,15,1,3,1
882,G736137,0,21,3,2,1
883,A7454623,1,15,3,3,2
884,W9087379,1,20,3,3,1
885,V8891161,0,21,3,3,2
886,>7432701,1,17,1,2,2
887,S9227551,0,16,1,1,1
888,C7543596,1,18,3,2,2
889,^8395144,1,19,1,1,2
890,X9193184,1,24,1,2,1
891,S896547,0,22,1,1,1
892,>6042065,1,15,2,3,1
893,C6232332,0,15,1,3,2
894,Z6236029,1,15,3,3,1
895,?6427443,0,21,1,3,2
896,K8269672,1,19,2,2,1
897,H9216655,1,23,2,1,1
898,<7367891,1,20,2,1,1
899,H9559692,1,21,3,1,1
900,V7617866,1,21,2,3,1
901,^7846614,0,23,2,3,2
902,S8257330,1,23,2,3,2
903,P7732330,0,24,3,3,2
904,M939096,1,23,3,1,1
905,I9494204,1,15,1,2,1
906,B8214218,0,23,2,1,2
907,>8891213,1,22,3,1,2
908,A9315431,1,21,2,3,2
909,\9070267,0,21,3,2,2
910,Y7319322,0,15,2,2,1
911,F9523149,1,25,1,3,1
912,H9019793,0,17,3,2,2
913,B7547797,0,19,2,2,1
914,K9124149,1,19,1,2,2
915,S9545042,1,17,1,1,1
916,C8812163,1,21,2,1,2
917,@8846179,0,23,3,1,1
918,O7698071,0,16,1,2,2
919,\8561340,1,20,2,2,2
920,E9411502,1,21,2,2,1
921,B6282771,1,15,1,2,2
922,F7267943,0,15,2,1,2
923,Z6622031,0,20,1,1,1
924,V7963105,0,20,2,2,1
925,J7888450,1,18,3,2,1
926,H8468669,0,15,1,3,1
927,O8786194,0,21,2,2,2
928,N6279196,0,15,1,2,1
929,R6756573,1,25,2,3,1
930,>9311992,0,25,1,1,1
931,X6998548,0,17,2,1,1
932,H9067408,1,22,3,2,1
933,@6153384,1,17,1,3,2
934,_6171276,0,21,3,2,2
935,\6421900,0,23,3,2,1
936,J8529799,1,25,2,3,1
937,G8359904,1,17,1,1,1
938,Y8588286,0,19,2,2,1
939,@8443271,0,22,3,1,1
940,U6610107,1,23,3,2,1
941,F7541535,1,22,1,1,2
942,T6417100,1,19,2,2,2
943,S9076853,0,15,1,3,2
944,C8623226,1,25,1,2,2
945,I8153249,1,19,1,2,1
946,R9146551,1,22,1,2,1
947,N7926018,1,17,3,1,2
948,D9215418,1,21,2,2,1
949,K8883737,0,24,3,1,2
950,R8973673,1,15,3,3,1
951,X8643804,0,16,2,2,1
952,X6578036,1,18,3,1,2
953,P8321020,0,19,3,2,2
954,D8540296,0,22,3,3,1
955,W8840808,1,23,3,2,1
956,M8072249,1,18,3,1,2
957,^8786195,1,15,2,2,2
958,M6198359,0,18,2,1,2
959,A6430873,1,23,3,1,2
960,I9413188,1,22,1,2,1
961,I8532582,0,15,1,3,2
962,E8629305,0,15,2,3,1
963,Z8286034,0,18,2,2,2
964,Y9116876,1,17,1,1,2
965,Q7135835,1,16,2,3,1
966,\659890,0,16,2,3,2
967,I6983367,0,15,2,3,2
968,C9023728,0,15,2,3,2
969,L7324020,1,22,3,1,1
970,?93541,1,17,2,1,1
971,J7272688,0,15,2,1,2
972,<6883033,0,25,1,3,2
973,=8392432,1,25,1,2,1
974,R7915814,0,17,1,1,1
975,Q6177456,0,19,1,3,1
976,_7315350,0,20,1,1,1
977,C6838589,0,24,3,1,1
978,=7437747,0,16,1,2,2
979,@8054990,1,17,3,2,1
980,=9556914,1,22,2,3,2
981,Y7419248,0,25,2,3,1
982,Q7038313,0,23,2,1,1
983,Z7692915,1,15,2,1,2
984,H6743515,0,17,3,1,1
985,J6490348,1,20,1,3,1
986,P9294191,0,25,3,2,2
987,]834090,1,20,1,2,2
988,C6894581,0,25,3,3,2
989,^9026287,0,18,2,3,1
990,^633513,0,19,2,2,1
991,>9598523,0,21,3,1,2
992,K7532016,1,24,2,1,1
993,^7139263,1,20,3,2,2
994,I6147248,1,24,1,1,2
995,I7068854,0,19,1,2,1
996,D8690440,0,24,3,2,1
997,_8330311,1,25,1,2,1
998,D8887003,1,15,2,3,1
999,?786482,1,23,3,2,1
1000,\6867720,1,19,3,3,1
1001,[9290838,0,17,1,3,2
1002,P9439140,1,19,2,1,1
1003,?6094859,0,21,3,1,2
1004,_714916,0,22,2,3,1
1005,N6755090,1,20,1,1,2
1006,S6733234,0,23,2,2,2
1007,_9178299,1,21,2,3,2
1008,O9195733,0,24,3,3,2
1009,L7060803,0,21,3,2,2
1010,V6934187,1,21,2,1,2
1011,R6194832,0,22,2,1,1
1012,^8887946,0,19,3,1,2
1013,@9224791,1,15,2,3,1
1014,U6088049,1,23,1,2,1
1015,Q9091146,0,24,2,2,2
1016,B9361961,0,17,3,3,2
1017,Z7265879,1,20,1,1,2
1018,@6145406,1,23,3,3,1
1019,X8092051,1,25,1,2,1
1020,]6959765,0,24,2,3,1
1021,Q7625603,1,23,3,3,1
1022,J6114690,1,21,1,1,2
1023,B6694275,0,19,2,2,2
1024,=8276570,0,22,3,3,1
1025,<7931887,0,19,3,3,1
1026,K7510792,1,25,3,2,2
1027,M7680855,0,24,2,2,1
1028,>6831763,0,15,3,3,2
1029,S7937776,1,25,3,1,2
1030,P6881175,0,15,1,1,1
1031,V6915676,1,18,1,1,1
1032,K6796865,0,17,3,3,2
1033,H6430873,1,15,2,1,1
1034,>9322864,1,25,2,2,1
1035,L8974240,0,16,2,1,1
1036,L6381028,1,15,3,1,1
1037,P6563308,1,16,2,3,2
1038,H8239822,0,23,3,3,1
1039,<7199391,1,16,1,2,1
1040,K8551732,1,18,2,1,2
1041,J7187269,1,21,2,1,2
1042,N8741634,1,19,2,2,1
1043,R7633661,1,22,1,3,1
1044,@9112606,1,18,2,2,1
1045,N791120,0,18,1,2,1
1046,U6036786,1,15,3,2,1
1047,L9483021,1,24,1,3,2
1048,\6956037,1,16,1,3,2
1049,>6916217,0,20,3,2,1
1050,L8144369,1,23,1,1,2
