userid,gender,age,consumption level,shopping level, occupation level,ad1,ad2,ad3,ad4,ad5,CTR VALUE
335,1,22,2,1,2,1,0,0,0,0,1
336,0,22,3,3,2,0,0,1,1,1,3
337,0,25,1,2,2,0,1,0,0,1,2
338,0,25,3,3,1,0,0,0,1,0,1
339,1,20,3,3,2,1,1,0,0,0,2
340,0,15,3,3,2,0,1,1,0,1,3
341,0,18,3,3,2,1,1,1,0,1,4
342,0,23,3,3,1,1,0,1,0,1,3
343,1,17,2,1,2,1,0,0,0,1,2
344,1,20,1,3,2,1,0,1,1,0,3
345,0,24,1,1,2,0,1,0,0,1,2
346,1,25,1,1,2,1,0,1,1,0,3
347,1,21,3,1,2,0,0,0,1,1,2
348,1,21,2,3,2,0,1,0,0,1,2
349,1,15,3,2,1,0,1,1,1,0,3
350,1,21,2,2,2,0,1,1,0,0,2
351,1,23,2,3,1,1,0,1,1,1,4
352,0,22,1,1,2,1,1,1,1,1,5
353,1,15,2,3,1,0,1,0,0,1,2
354,1,17,3,2,2,0,1,0,1,1,3
355,1,23,2,3,1,1,1,1,0,1,4
356,1,20,3,1,1,1,0,0,0,1,2
357,0,21,1,3,2,0,0,0,1,1,2
358,0,19,2,1,1,0,0,0,0,0,0
359,1,18,3,3,1,1,1,0,1,1,4
360,1,19,2,2,1,0,0,0,0,0,0
361,1,25,1,1,1,0,1,1,1,1,4
362,0,18,1,3,2,1,0,1,0,1,3
363,1,22,2,1,2,1,0,1,1,0,3
364,0,19,3,1,1,1,1,1,0,0,3
365,1,22,2,1,2,1,0,1,0,1,3
366,0,25,3,3,2,0,1,1,1,0,3
367,1,20,1,2,1,0,0,1,1,1,3
368,1,18,3,2,2,0,1,1,0,0,2
369,1,21,2,1,1,1,0,0,1,0,2
370,0,18,2,3,1,0,0,1,0,1,2
371,0,15,2,3,1,1,1,1,1,0,4
372,0,23,3,2,2,1,1,1,1,1,5
373,0,23,2,1,2,1,1,1,0,0,3
374,1,25,1,2,1,0,1,1,1,0,3
375,1,17,2,3,1,1,1,1,1,1,5
376,0,21,2,3,1,0,1,1,0,1,3
377,1,17,1,2,2,0,1,1,1,1,4
378,1,24,1,1,2,0,0,0,0,1,1
379,0,16,2,3,2,1,0,0,1,0,2
380,0,25,3,3,1,1,0,1,1,0,3
381,0,22,3,3,2,1,1,0,1,0,3
382,0,24,1,1,2,0,0,1,0,0,1
383,0,23,2,1,2,1,0,1,0,1,3
384,0,17,2,1,1,0,1,0,1,0,2
385,1,17,3,3,1,0,1,1,1,0,3
386,1,22,1,1,2,1,1,0,0,1,3
387,0,17,1,2,2,1,1,0,0,1,3
388,1,17,2,2,1,1,0,1,1,0,3
389,1,21,1,3,2,1,1,1,1,0,4
390,0,21,1,1,2,1,1,0,1,1,4
391,0,21,3,3,2,1,1,1,0,1,4
392,0,15,1,2,1,0,0,1,1,1,3
393,0,22,1,2,1,1,1,1,1,0,4
394,0,18,2,1,2,1,0,0,0,1,2
395,1,20,1,3,1,0,1,0,0,0,1
396,0,23,3,2,1,0,1,0,0,1,2
397,0,17,1,2,2,1,1,0,0,1,3
398,0,23,1,2,2,1,0,1,0,1,3
399,1,18,1,1,2,0,0,0,1,1,2
400,1,23,2,2,2,0,1,0,1,0,2
401,0,25,2,2,1,0,1,0,1,0,2
402,0,18,1,3,2,1,0,0,1,1,3
403,0,23,1,3,2,0,0,0,1,1,2
404,0,21,2,2,2,1,0,1,0,0,2
405,0,23,1,1,2,0,0,1,1,0,2
406,1,15,3,1,2,0,1,1,0,0,2
407,1,22,1,1,2,1,0,1,1,0,3
408,1,23,3,2,1,0,0,1,1,1,3
409,0,19,3,1,1,0,0,1,0,0,1
410,0,16,3,2,1,0,1,0,1,0,2
411,1,15,2,3,2,1,1,1,0,1,4
412,1,25,1,1,2,1,0,0,1,0,2
413,1,16,1,3,2,1,0,0,0,1,2
414,1,15,1,2,2,1,1,1,1,0,4
415,1,24,3,1,1,1,0,0,0,1,2
416,1,25,1,2,2,0,1,1,1,0,3
417,0,25,2,2,1,0,0,0,0,0,0
418,0,20,3,1,1,1,0,0,0,0,1
419,0,15,2,2,1,0,1,0,1,0,2
420,1,21,2,1,1,1,0,1,0,0,2
421,1,15,3,2,2,1,0,0,1,0,2
422,1,18,1,3,2,1,0,0,0,1,2
423,1,19,1,1,2,0,0,1,0,0,1
424,0,17,3,1,1,1,0,1,0,1,3
425,1,24,1,1,1,1,1,0,0,0,2
426,1,18,3,1,1,1,0,0,0,0,1
427,1,24,2,2,1,1,1,1,1,1,5
428,1,17,1,3,2,1,1,1,1,1,5
429,1,24,1,2,2,0,1,1,1,0,3
430,1,21,1,1,1,0,1,0,1,0,2
431,0,22,1,3,1,0,0,1,0,1,2
432,1,21,3,2,1,1,0,0,0,0,1
433,0,23,2,3,2,1,1,1,1,1,5
434,1,22,1,3,1,1,1,0,0,1,3
435,0,21,2,1,2,0,1,0,1,0,2
436,1,25,3,1,1,1,0,0,0,0,1
437,0,22,2,2,1,1,1,1,0,1,4
438,1,20,1,1,2,1,0,0,1,0,2
439,0,25,2,1,1,0,1,0,1,0,2
440,0,18,2,3,1,0,0,0,0,0,0
441,1,23,2,3,1,0,1,1,0,0,2
442,1,24,2,3,1,1,0,0,1,0,2
443,1,19,2,2,1,0,1,1,0,1,3
444,0,21,1,2,2,0,0,1,1,1,3
445,1,17,3,3,2,1,1,1,1,0,4
446,0,23,1,1,2,1,1,1,1,1,5
447,0,25,3,1,1,0,1,0,1,0,2
448,1,16,1,3,1,0,0,1,1,1,3
449,0,25,1,1,2,0,0,1,0,1,2
450,0,17,3,1,2,1,0,1,0,1,3
451,1,25,3,1,1,0,1,0,0,0,1
452,1,18,3,3,1,0,1,1,1,0,3
453,1,17,3,1,2,1,1,0,1,1,4
454,0,24,1,3,1,1,0,1,1,0,3
455,1,21,3,2,2,0,0,0,1,0,1
456,1,21,2,3,1,1,0,0,0,1,2
457,0,17,1,1,2,1,0,0,0,0,1
458,0,23,1,2,1,1,1,0,0,0,2
459,1,22,1,2,2,1,0,1,1,0,3
460,1,17,1,2,2,0,0,0,0,1,1
461,1,18,1,3,2,0,1,0,1,1,3
462,1,23,3,1,1,0,0,1,1,1,3
463,1,20,3,2,1,0,0,1,1,0,2
464,0,22,2,3,2,0,0,0,1,0,1
465,1,17,2,1,2,1,0,0,1,1,3
466,0,18,2,1,1,1,1,1,0,0,3
467,1,17,2,3,1,1,1,0,1,0,3
468,1,25,3,1,2,1,0,1,1,0,3
469,0,25,2,3,1,1,0,0,1,1,3
470,0,18,2,3,2,0,1,0,0,0,1
471,1,23,2,1,2,0,0,1,1,0,2
472,0,22,1,2,1,0,0,1,0,0,1
473,1,18,1,2,1,1,1,1,1,1,5
474,1,18,1,2,2,1,1,0,0,0,2
475,0,22,3,2,2,0,1,0,1,0,2
476,1,16,1,2,2,0,0,1,0,1,2
477,0,25,2,3,2,0,1,1,1,0,3
478,1,25,3,3,1,1,1,0,1,0,3
479,0,16,2,3,2,1,0,1,0,1,3
480,1,24,1,3,2,0,1,1,1,0,3
481,0,22,2,2,2,1,1,1,1,1,5
482,1,22,3,2,1,0,1,0,1,0,2
483,1,17,3,2,1,1,1,0,0,1,3
484,0,22,3,2,1,1,1,1,0,1,4
485,0,15,3,2,1,1,0,1,1,0,3
486,1,16,2,1,1,0,0,1,1,0,2
487,0,21,3,1,2,1,1,1,1,1,5
488,1,22,3,2,1,0,1,0,1,1,3
489,1,24,2,1,2,1,0,0,1,1,3
490,1,22,2,2,1,1,1,1,0,0,3
491,1,22,2,3,2,0,1,1,0,0,2
492,1,16,3,3,2,1,1,1,0,1,4
493,0,22,3,1,1,1,0,1,1,1,4
494,0,18,2,2,1,0,1,0,0,1,2
495,1,23,1,1,2,0,0,0,1,0,1
496,0,18,1,2,1,1,1,0,1,0,3
497,1,25,3,3,2,1,0,1,1,1,4
498,0,22,3,1,1,1,1,0,0,1,3
499,0,21,1,2,2,0,1,0,0,0,1
500,0,20,2,1,2,0,0,0,1,0,1
501,0,16,3,3,2,0,1,1,0,0,2
502,1,25,3,1,2,0,1,0,1,0,2
503,1,22,3,3,2,0,1,1,1,1,4
504,0,25,2,3,1,0,1,1,0,0,2
505,1,21,1,1,1,1,0,0,0,1,2
506,0,20,2,1,1,0,0,0,0,1,1
507,1,22,3,3,1,1,0,1,0,0,2
508,1,18,2,2,1,0,1,1,1,0,3
509,0,19,2,3,2,1,1,0,1,0,3
510,0,20,3,1,1,0,1,0,0,1,2
511,1,18,3,1,2,1,1,0,0,0,2
512,0,22,2,3,2,1,0,0,0,0,1
513,0,24,1,2,1,0,1,0,0,0,1
514,1,15,1,3,2,1,0,1,1,0,3
515,0,22,2,3,1,0,1,0,0,1,2
516,1,19,1,2,1,0,1,1,0,1,3
517,1,18,2,1,2,0,0,1,0,1,2
518,1,16,3,3,2,0,1,1,1,0,3
519,1,23,3,1,1,0,0,0,1,1,2
520,0,19,3,2,2,0,0,1,0,0,1
521,0,25,2,3,2,1,1,1,0,0,3
522,0,15,1,2,2,1,1,0,1,1,4
523,0,21,1,3,2,0,0,0,0,0,0
524,1,16,1,1,2,1,1,1,1,1,5
525,0,15,2,1,2,0,0,1,1,0,2
526,1,25,1,1,1,1,0,1,1,1,4
527,0,19,1,3,1,0,0,0,0,0,0
528,1,21,1,3,2,1,1,1,1,1,5
529,1,21,3,2,1,0,0,1,0,1,2
530,0,19,3,1,2,0,1,1,0,0,2
531,0,23,3,3,2,0,1,1,0,0,2
532,1,18,1,2,1,1,1,1,1,1,5
533,1,19,3,2,1,1,0,0,1,0,2
534,0,21,2,1,2,0,1,1,0,0,2
535,1,19,2,2,2,1,0,1,0,1,3
536,0,24,2,2,2,1,0,1,1,0,3
537,1,15,1,2,2,1,0,1,1,1,4
538,1,18,1,1,1,0,0,1,0,1,2
539,0,21,3,1,1,0,0,0,0,0,0
540,1,16,3,3,1,0,1,1,1,0,3
541,1,15,1,1,2,0,0,0,0,1,1
542,1,23,1,2,1,0,1,1,1,1,4
543,0,16,3,2,2,1,1,1,1,0,4
544,0,22,1,3,2,1,0,1,0,0,2
545,1,21,3,1,1,0,1,1,1,1,4
546,1,16,3,3,1,0,1,1,1,0,3
547,0,24,1,2,1,1,1,1,1,0,4
548,1,17,3,1,1,1,1,0,0,1,3
549,1,21,1,1,2,1,1,1,0,0,3
550,1,22,3,3,2,1,0,1,1,0,3
551,1,20,1,2,1,0,0,0,1,1,2
552,1,19,3,1,2,1,1,1,0,0,3
553,0,20,1,2,1,0,1,1,0,1,3
554,1,16,3,3,2,0,0,1,1,0,2
555,1,15,1,2,2,1,1,1,1,0,4
556,1,21,1,3,1,1,1,1,1,0,4
557,1,21,3,1,1,1,1,1,1,1,5
558,0,24,1,1,2,1,0,1,0,1,3
559,1,21,2,3,2,0,0,1,0,0,1
560,1,23,1,2,1,0,1,1,0,0,2
561,1,23,1,3,1,0,1,1,1,1,4
562,1,17,1,3,2,1,0,0,0,0,1
563,0,17,1,2,1,0,1,1,0,0,2
564,0,23,3,3,2,0,1,1,0,1,3
565,1,23,1,3,1,0,0,1,1,1,3
566,0,16,3,2,2,1,1,1,0,0,3
567,1,16,2,2,1,1,0,1,0,1,3
568,1,18,2,3,1,1,1,1,1,0,4
569,1,25,2,2,2,1,0,1,0,1,3
570,1,15,3,3,1,0,1,1,1,0,3
571,0,22,1,2,2,0,0,1,0,1,2
572,1,16,1,2,1,0,0,1,1,0,2
573,1,20,2,2,1,0,1,0,1,0,2
574,0,16,1,3,1,1,0,1,0,0,2
575,0,22,1,1,1,1,0,0,1,0,2
576,0,15,2,1,1,1,1,0,1,0,3
577,0,17,2,3,2,1,0,0,0,1,2
578,1,24,3,1,2,1,1,1,0,0,3
579,0,24,1,2,1,0,1,0,1,0,2
580,1,17,3,1,1,1,1,1,0,0,3
581,0,15,2,2,1,0,0,0,1,1,2
582,1,17,3,2,2,1,0,0,1,0,2
583,0,22,2,2,2,1,0,1,0,0,2
584,0,24,1,3,1,1,1,1,0,1,4
585,0,15,1,3,2,1,0,0,1,0,2
586,0,17,2,1,2,1,0,1,1,1,4
587,1,22,3,1,1,1,1,1,1,1,5
588,0,25,3,1,1,1,1,1,1,1,5
589,0,19,2,1,1,1,1,0,0,1,3
590,0,21,1,1,1,0,1,1,1,1,4
591,0,20,1,3,2,1,0,1,1,1,4
592,1,24,2,3,1,1,0,0,0,0,1
593,0,17,3,1,2,0,0,1,1,1,3
594,0,17,2,3,1,0,0,0,0,0,0
595,0,25,1,1,1,1,1,0,0,1,3
596,1,24,1,1,2,0,0,1,0,0,1
597,0,17,2,3,1,1,0,0,1,1,3
598,0,16,3,3,1,1,1,1,1,1,5
599,1,20,3,2,1,1,0,1,0,0,2
600,0,19,3,3,1,1,1,1,1,1,5
601,0,21,3,1,2,1,1,1,0,0,3
602,0,22,3,2,2,0,0,1,1,1,3
603,0,24,1,2,2,1,0,0,0,0,1
604,0,16,3,1,2,1,0,1,0,0,2
605,1,15,3,1,1,1,1,1,1,0,4
606,1,25,2,1,2,0,1,0,0,0,1
607,1,24,1,3,1,0,1,0,1,1,3
608,1,25,2,3,2,1,1,1,1,0,4
609,0,23,3,2,2,1,1,1,1,0,4
610,0,18,2,3,2,0,1,0,1,1,3
611,0,23,3,2,2,1,0,1,0,0,2
612,1,22,1,3,1,1,1,1,1,1,5
613,1,23,1,2,2,0,0,0,0,0,0
614,1,20,1,1,1,1,0,1,1,0,3
615,1,23,3,3,2,1,0,1,1,0,3
616,1,25,1,2,1,1,0,1,0,0,2
617,0,17,2,2,1,1,1,0,1,1,4
618,1,18,1,1,2,1,1,0,1,1,4
619,1,21,1,3,2,1,1,1,1,1,5
620,0,19,1,2,1,1,1,1,0,0,3
621,0,19,2,2,1,1,1,1,0,1,4
622,0,18,2,1,2,0,1,1,0,0,2
623,0,17,1,1,1,0,1,0,0,1,2
624,0,15,1,3,2,0,1,0,0,1,2
625,0,22,1,2,2,0,0,1,1,0,2
626,1,25,2,3,1,1,0,0,0,0,1
627,1,23,1,3,1,0,1,1,0,1,3
628,0,25,3,1,2,0,1,0,1,0,2
629,0,18,3,1,2,1,1,0,0,1,3
630,1,20,1,3,1,1,0,1,1,0,3
631,0,16,1,3,2,0,0,1,1,1,3
632,0,20,2,2,1,1,1,1,0,1,4
633,1,16,3,3,1,1,0,1,1,0,3
634,0,21,1,3,1,0,1,0,1,0,2
635,0,21,2,2,1,1,1,0,1,0,3
636,1,17,3,1,2,0,1,1,0,1,3
637,0,17,1,3,2,0,0,0,0,1,1
638,1,18,1,1,2,1,0,0,1,0,2
639,0,17,2,1,2,0,1,0,1,0,2
640,0,16,1,3,2,1,1,1,0,0,3
641,1,24,1,2,2,0,1,1,0,1,3
642,1,16,2,1,1,0,0,0,0,1,1
643,1,23,3,3,1,0,0,1,1,1,3
644,0,17,1,1,1,1,0,1,1,1,4
645,0,20,1,2,1,0,1,0,1,1,3
646,1,20,3,2,1,1,0,0,1,1,3
647,1,22,3,2,2,0,0,1,1,1,3
648,0,22,1,1,1,1,0,1,1,0,3
649,0,20,2,3,1,0,1,0,1,0,2
650,1,16,2,1,2,0,0,1,0,1,2
651,1,23,2,3,2,1,1,0,1,0,3
652,0,15,1,2,1,0,1,0,1,1,3
653,1,25,3,3,1,1,0,0,1,0,2
654,0,24,3,3,2,1,1,1,1,0,4
655,0,18,2,2,2,0,1,1,0,1,3
656,0,22,1,3,1,1,0,0,0,0,1
657,0,17,2,2,2,1,0,0,0,1,2
658,1,21,3,1,2,0,0,0,1,0,1
659,1,24,3,1,1,1,1,0,1,1,4
660,0,16,2,3,1,0,1,0,1,0,2
661,0,24,1,2,2,0,1,1,0,0,2
662,0,24,1,3,1,0,0,1,0,1,2
663,0,17,2,3,2,0,0,1,0,1,2
664,0,16,2,1,1,0,1,0,0,0,1
665,1,15,2,2,1,1,1,0,1,1,4
666,1,18,1,2,2,0,0,0,1,0,1
667,0,16,3,2,2,1,1,0,1,1,4
668,1,19,1,1,2,1,0,0,1,0,2
669,0,24,2,2,2,0,1,1,0,0,2
670,1,15,1,3,1,1,1,0,0,1,3
671,1,25,2,3,2,1,0,1,0,0,2
672,1,17,3,3,1,1,1,0,0,0,2
673,1,15,1,2,2,1,0,1,0,1,3
674,0,23,1,1,1,0,0,1,1,1,3
675,0,22,3,2,1,1,1,1,1,1,5
676,1,17,2,2,1,1,1,0,0,0,2
677,0,24,3,3,1,0,1,1,1,0,3
678,1,22,2,3,1,1,0,1,1,0,3
679,1,17,1,2,2,0,1,1,0,0,2
680,0,15,3,3,1,0,1,0,1,1,3
681,1,17,2,1,2,1,0,1,0,0,2
682,1,24,3,1,2,1,0,0,0,0,1
683,0,15,2,2,1,0,0,1,1,1,3
684,0,18,1,2,1,0,0,0,1,0,1
685,1,22,1,2,2,0,1,0,0,0,1
686,1,23,1,1,1,1,0,0,1,0,2
687,1,17,1,1,1,1,1,0,0,0,2
688,0,18,2,3,2,0,0,1,1,1,3
689,1,22,2,2,1,1,1,0,0,1,3
690,1,19,3,2,1,1,1,1,0,1,4
691,0,16,1,2,2,1,1,1,1,1,5
692,1,24,1,1,2,1,1,1,1,0,4
693,1,19,1,3,2,1,0,0,1,1,3
694,1,19,2,1,2,0,1,0,1,0,2
695,1,19,3,1,2,1,0,0,1,1,3
696,0,25,3,2,1,0,0,1,0,1,2
697,1,20,3,3,2,1,1,1,0,1,4
698,0,25,2,2,2,1,0,0,1,1,3
699,1,17,1,1,2,0,1,1,0,1,3
700,1,17,3,2,2,0,1,1,1,1,4
701,1,20,3,2,1,0,0,1,0,0,1
702,0,22,1,1,1,0,0,0,0,0,0
703,0,20,2,3,2,1,1,0,0,1,3
704,1,21,1,1,2,1,1,1,0,1,4
705,0,21,1,3,2,0,0,1,0,1,2
706,0,16,3,2,2,1,1,1,0,1,4
707,1,15,1,3,1,0,0,0,0,0,0
708,0,25,2,1,2,0,1,0,1,0,2
709,0,23,2,1,2,0,1,1,1,1,4
710,0,23,2,1,2,0,0,0,0,1,1
711,1,16,1,1,2,0,1,0,1,0,2
712,0,17,3,2,2,1,1,1,0,1,4
713,0,21,2,2,1,1,1,1,0,1,4
714,1,17,3,3,1,0,1,1,0,1,3
715,1,15,2,3,1,0,0,1,0,0,1
716,1,20,1,1,1,1,1,1,0,0,3
717,1,23,2,1,1,0,1,0,0,1,2
718,0,23,2,2,1,1,0,1,1,0,3
719,1,24,1,2,1,0,0,1,0,0,1
720,0,19,3,2,2,1,1,1,0,0,3
721,1,19,2,3,1,0,0,0,0,0,0
722,1,19,3,3,1,1,1,0,0,1,3
723,0,22,3,1,2,0,1,0,1,0,2
724,1,15,1,1,2,1,0,0,0,1,2
725,0,24,2,3,1,1,1,0,1,1,4
726,1,19,3,3,1,1,0,1,0,0,2
727,1,16,1,3,2,0,0,0,0,0,0
728,0,21,1,2,1,0,1,1,1,1,4
729,0,20,2,2,1,1,1,0,1,1,4
730,1,20,2,3,1,1,1,0,0,1,3
731,0,20,1,3,1,1,1,0,0,0,2
732,0,20,2,1,2,1,1,1,0,1,4
733,0,24,2,3,2,1,0,1,0,1,3
734,1,20,2,1,2,1,1,1,0,1,4
735,1,23,3,1,2,0,1,0,0,1,2
736,1,18,1,2,1,1,0,1,1,0,3
737,0,18,1,3,2,0,0,1,1,1,3
738,1,16,2,3,1,1,0,0,1,0,2
739,1,18,2,2,2,1,1,0,1,1,4
740,1,24,1,2,2,0,1,1,1,0,3
741,1,24,3,1,2,0,1,1,0,1,3
742,0,15,3,1,1,1,0,0,0,1,2
743,0,15,1,2,1,0,0,0,0,1,1
744,0,18,3,3,2,1,1,0,0,1,3
745,0,17,1,2,1,1,1,1,1,1,5
746,1,15,2,1,1,0,1,1,0,0,2
747,1,21,3,1,1,0,1,0,0,1,2
748,0,22,2,2,1,1,1,0,0,0,2
749,1,23,2,2,2,0,0,0,1,1,2
750,1,19,1,3,1,0,1,0,1,1,3
751,1,15,2,1,1,1,0,1,1,0,3
752,0,21,3,2,2,0,0,0,1,0,1
753,1,18,2,3,1,1,0,0,0,0,1
754,1,17,3,1,1,0,0,0,0,0,0
755,0,25,3,2,1,0,1,0,1,0,2
756,0,20,1,3,2,0,1,0,0,1,2
757,1,20,2,3,2,1,0,1,1,1,4
758,1,25,2,3,1,0,1,1,0,0,2
759,1,16,3,1,1,0,1,1,0,0,2
760,1,17,3,2,1,0,1,1,0,0,2
761,0,21,2,1,1,0,1,0,0,0,1
762,0,25,2,2,2,0,0,1,1,1,3
763,0,21,3,2,1,0,0,1,1,1,3
764,1,21,3,2,1,1,1,0,1,0,3
765,0,19,3,1,1,0,1,0,1,1,3
766,1,22,3,3,1,1,1,1,1,1,5
767,1,16,1,3,1,1,0,1,1,1,4
768,1,23,3,2,1,1,0,0,0,0,1
769,0,21,3,1,1,0,1,1,1,1,4
770,1,25,2,2,2,1,0,1,0,0,2
771,1,22,3,3,1,0,0,0,0,1,1
772,1,19,2,1,1,1,1,1,1,0,4
773,1,17,1,3,2,1,0,0,1,0,2
774,1,21,2,3,1,1,0,0,1,0,2
775,1,25,3,3,2,1,0,0,0,1,2
776,1,16,2,3,1,0,0,1,1,0,2
777,1,24,2,2,2,1,0,0,1,1,3
778,0,20,2,1,2,1,1,0,1,0,3
779,0,19,3,1,2,0,0,1,0,0,1
780,0,25,2,2,2,1,1,1,0,1,4
781,1,22,3,2,1,1,1,0,1,1,4
782,1,16,2,1,2,1,0,1,1,0,3
783,0,19,2,1,1,1,1,1,0,1,4
784,1,25,3,3,2,0,0,1,0,0,1
785,1,18,3,2,2,1,1,1,0,0,3
786,0,16,1,1,1,1,0,0,0,0,1
787,1,21,2,3,1,1,1,0,1,0,3
788,1,24,3,3,2,0,0,1,0,0,1
789,1,21,1,3,2,1,0,0,1,0,2
790,0,25,1,2,2,1,0,1,0,1,3
791,0,23,1,3,2,0,1,1,1,1,4
792,1,17,1,1,1,0,1,1,0,1,3
793,0,22,1,3,2,0,1,1,1,0,3
794,0,18,3,2,2,0,1,1,1,0,3
795,1,17,3,2,2,1,1,0,0,0,2
796,0,18,2,1,1,1,1,1,1,0,4
797,0,23,1,1,2,0,1,0,1,1,3
798,1,24,1,2,1,1,0,0,0,1,2
799,1,23,2,3,1,1,1,0,1,0,3
800,1,20,1,2,1,1,0,1,1,1,4
801,1,25,1,1,1,0,1,1,1,0,3
802,0,17,2,1,2,1,0,0,1,0,2
803,1,17,3,3,2,0,0,1,1,1,3
804,1,20,1,2,2,0,0,1,0,0,1
805,0,25,3,1,2,0,0,0,0,1,1
806,1,20,2,3,2,0,1,0,0,1,2
807,0,16,3,2,2,1,0,0,1,0,2
808,0,18,1,1,2,1,1,0,1,1,4
809,1,18,1,2,2,0,0,1,0,1,2
810,1,18,2,3,2,1,0,0,0,0,1
811,1,24,1,3,1,0,0,0,1,0,1
812,1,21,3,2,2,0,0,0,1,0,1
